id,value
基隆美術館,104126000
高雄市立美術館,101750000
駁二藝術特區,94250000
財團法人雲門文化藝術基金會,78900000
新北市立鶯歌陶瓷博物館,70807000
過癮科技有限公司,65992850
馬祖民俗文物館,62100000
牽猴子整合行銷股份有限公司,60376784
宜蘭縣立蘭陽博物館,58210000
百聿數碼創意股份有限公司,57850191
壹壹影業股份有限公司,54890000
財團法人蔣見美教授文教基金會,53640000
鄭成功文物館,53300000
影一製作所股份有限公司,53255000
馬克吐溫國際影像有限公司,53090200
三立電視股份有限公司,52461740
奇幻娛樂國際股份有限公司,49700000
臺灣電視事業股份有限公司,48336100
群之噰傳播有限公司,45900000
拙八郎創意執行股份有限公司,45480000
三義木雕博物館,45230000
華映娛樂股份有限公司,44305919
華文創股份有限公司,41960000
澎湖縣政府文化局,40100000
天予電影有限公司,39200000
拙八郎創意執行有限公司,38000000
瀚草影視文化事業股份有限公司,38000000
華影國際影藝有限公司,37380000
逆光電影股份有限公司,37000000
臺南左鎮化石園區,36700000
財團法人擊樂文教基金會,36050000
鹿路電影有限公司,35950000
原子映象有限公司,35800000
犢影制作電影有限公司,35230000
欣湉國際有限公司,35000000
嘉揚電影有限公司,34975000
映畫傳播事業股份有限公司,34826000
三樂電影製作有限公司,34200000
甜蜜生活製作有限公司,33600000
豐采節目製作股份有限公司,33000000
紙風車劇團,32000000
財團法人優人文化藝術基金會,32000000
瀚草文創事業股份有限公司,31315000
高雄市立歷史博物館,31050000
時創影業股份有限公司,31000000
嘉義縣表演藝術中心,30900000
本地風光電影股份有限公司,29600000
夢田影像股份有限公司,29380000
朱銘美術館,28990000
風起娛樂有限公司,28800000
視納華仁文化傳播股份有限公司,27205000
量子娛樂製作股份有限公司,27000000
行政法人高雄市立歷史博物館,27000000
兔子創意股份有限公司,25853400
世界宗教博物館,25780000
嘉義市立博物館,25500000
農人影視製作有限公司,25000000
杰德創意影音管理股份有限公司,24780750
麻吉砥加電影有限公司,24213732
興揚電影有限公司,24200000
民間全民電視股份有限公司,23606000
積木影像製作有限公司,23500000
伸鋐國際事業有限公司,23000000
國立臺南藝術大學,22740000
冉色斯動畫股份有限公司,22370000
金禾創意股份有限公司,22300000
明華園戲劇團,22000000
絡思本娛樂製作有限公司,22000000
三鳳有限公司,22000000
貴金影業傳媒股份有限公司,21750000
宜蘭縣史館,20280000
奇想事企業有限公司,20200000
維特人股份有限公司,20100000
酷斯本媒體製作股份有限公司,20000000
十全媒體娛樂行銷股份有限公司,20000000
豐采文創有限公司,20000000
聯鑫行銷股份有限公司,20000000
奇蹟映畫所有限公司,20000000
鏡文創股份有限公司,20000000
百戲電影製作有限公司,19870000
