date,title,link,department
2022/05/06,111年度「文化部提升表演藝術倉儲環境補助計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3G8IvssNAMQNut3Y5aoT1f3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/05/05,111年「流行音樂產業行銷推廣補助案」第一類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0foPyT5dL5klpaH6yIKZ0omdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2022/05/05,111年「流行音樂產業行銷推廣補助案」第二類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0foPyT5dL5klpaH6yIKZ0oUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2022/04/28,111年「國家鐵道博物館籌備處推展鐵道學術暨文化活動補助計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1j3tAcoqf6HIikbexp05klyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家鐵道博物館籌備處
2022/04/27,111年國家人權博物館推動不義遺址保存維護與人權事務發展補助核定補助名單	,AwardPublish.jsp?__viewstate=KSQNMhhcbO2tGXohfkqfwX62tRAGpD/krn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國家人權博物館
2022/04/27,111年度影視人才培訓補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1sM33TLXay3362tRAGpD/kLlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2022/04/26,111年「文化部補助文化團體及個人從事文化交流活動處理要點」臺灣與拉丁美洲文化交流合作專案(第2次徵件)補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH8QI1J9RMWSkrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文化交流司
2022/04/19,111年度綜藝節目製作補助案獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO1sM33TLXay3/4yrjuCQUkQyNlV7l0rHpSxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-廣播電視產業組
2022/04/13,111年「流行音樂人才培訓補助案」第一類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3R9CvKaKS9fcMcrS1paBJXUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
2022/04/13,111年「流行音樂人才培訓補助案」第二類獲補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO3R9CvKaKS9fcMcrS1paBJX3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部影視及流行音樂產業局-流行音樂產業組
