year,season,type,category,group,name,title,funding,note,committee
91,,專案,活化三合院專案補助計畫,,崑山科技大學,高雄市左營區洲子村三合院調查研究計劃,"272,000",,
91,,專案,活化三合院專案補助計畫,,社團法人高雄縣橋頭鄉橋仔頭文史協會,橋仔頭陳厝研究調查計畫,"301,000",,
91,,專案,活化三合院專案補助計畫,,中華民國青芯志工服務協會,2003年台灣地區三合院活化利用學術研討會,"300,000",,
91,,專案,活化三合院專案補助計畫,,崑山科技大學,高雄市鼓山區柴山前清朝武舉人麥朝清及例進士麥景興舊居活化,"200,000",,
91,,專案,活化三合院專案補助計畫,,林內鄉湖本社區發展協會,再造八色鳥之家,"250,000",,
91,,專案,活化三合院專案補助計畫,,黎振君,苗栗頭份客家夥房再利用調查,"306,000",,
91,,專案,活化三合院專案補助計畫,,財團法人大溪鎮大嵙崁文教基金會,桃園縣大溪鎮梅鶴山莊三合院計畫,"170,000",,
91,,專案,活化三合院專案補助計畫,,林勤妹,曾家古厝之旅,"155,000",,
91,,專案,活化三合院專案補助計畫,,私立淡江大學,中和市牛埔村興源堂再利用計畫,"191,000",,
91,,專案,活化三合院專案補助計畫,,財團法人船仔頭藝術村文教基金會,船仔頭三合院風情,"370,000",,
91,,專案,活化三合院專案補助計畫,,李國雄,燕樓李山石三合院再利用計畫,"344,000",,
91,,專案,活化三合院專案補助計畫,,劉銓芝,雲林縣西螺鎮合院民居軒亭形式之研究,"141,000",,
91,,專案,獎助文化藝術行政人才出國進修專案,,楊婉怡,獎助文化藝術行政人才出國進修-THENEWYORKINTERNATIONALFRINGEFESTIVAL&12THANNUALSEATTLEFRINGEFESTIVAL籌備工作,"400,000",,書面面試評審：吳靜吉、書面評審：王櫻芬、石瑞仁、李振清、辜懷群、鍾明德。面試評審：王櫻芬、黃海鳴、鍾明德、RobertHowes
91,,專案,獎助文化藝術行政人才出國進修專案,,周芳如,獎助文化藝術行政人才出國進修-乍見藝叢中的曙光─為台灣精緻音樂-室內樂找尋契機,"400,000",,書面面試評審：吳靜吉、書面評審：王櫻芬、石瑞仁、李振清、辜懷群、鍾明德。面試評審：王櫻芬、黃海鳴、鍾明德、RobertHowes
91,,專案,獎助文化藝術行政人才出國進修專案,,熊鵬翥,獎助文化藝術行政人才出國進修-教育展示面面觀,"400,000",,書面面試評審：吳靜吉、書面評審：王櫻芬、石瑞仁、李振清、辜懷群、鍾明德。面試評審：王櫻芬、黃海鳴、鍾明德、RobertHowes
91,,專案,獎助文化藝術行政人才出國進修專案,,陳亮丰,獎助文化藝術行政人才出國進修,"400,000",,書面面試評審：吳靜吉、書面評審：王櫻芬、石瑞仁、李振清、辜懷群、鍾明德。面試評審：王櫻芬、黃海鳴、鍾明德、RobertHowes
91,,專案,獎助文化藝術行政人才出國進修專案,,詹曼君,布魯克林演藝中心(BAM)的募款運作,"400,000",,書面面試評審：吳靜吉、書面評審：王櫻芬、石瑞仁、李振清、辜懷群、鍾明德。面試評審：王櫻芬、黃海鳴、鍾明德、RobertHowes
91,,專案,藝文創作空間專案,,表演藝術劇團,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"240,000",,
91,,專案,藝文創作空間專案,,一元布偶劇團,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"96,000",,
91,,專案,藝文創作空間專案,,劇樂部劇團,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"84,000",,
91,,專案,藝文創作空間專案,,莎士比亞的妹妹們的劇團,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"96,000",,
91,,專案,藝文創作空間專案,,采風樂坊,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"180,000",,
91,,專案,藝文創作空間專案,,果陀劇場,92年度藝文創作空間專案補助計畫　表演藝術團體排練場所,"300,000",,
